Row,BL,bri,cortexTraj
R1424,1,0,0
R1425,0,0,0
R1426,0,0,0
R1427,0,0,0
R1428,0,0,0
R1429,0,0,0
R1430,0,0,0
R1431,0,0,0
R1432,1,1,0
R1433,0,0,1
R1434,0,0,0
R1435,1,1,0
R1436,0,0,0
R1437,0,0,0
R1438,0,0,0
R1439,0,0,0
R1440,0,0,0
R1441,0,0,0
R1442,0,0,0
R1443,0,0,0
R1444,0,0,0
R1445,0,0,0
R1446,0,0,0
R1447,0,0,0
R1448,0,0,0
R1449,0,0,0
R1450,0,1,0
R1451,1,1,1
R1452,0,0,1
R1453,0,0,0
R1454,0,0,0
R1455,0,0,0
R1456,0,0,1
R1457,0,0,0
R1458,0,0,0
R1459,0,0,0
R1460,0,0,0
R1461,0,0,0
R1462,0,0,0
R1463,0,0,0
R1464,0,0,0
R1465,0,0,0
R1466,0,0,0
R1467,0,0,0
R1468,0,0,0
R1469,0,0,0
R1470,0,0,0
R1471,0,0,0
R1472,0,0,0
R1473,0,0,0
R1474,0,0,0
R1475,0,0,0
R1476,0,0,0
R1477,0,1,0
R1478,0,0,0
R1479,0,0,0
R1480,0,0,0
R1481,0,0,0
R1482,0,0,0
R1483,0,0,0
R1484,0,0,0
R1485,1,1,0
R1486,0,0,0
R1487,0,0,0
R1488,0,0,0
R1489,0,0,0
R1490,0,0,0
R1491,0,0,0
